ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,reliance
O31,0.7920289635658264,0.0,4,1,0.25,0.0,7,0,1
O31,0.4314174056053161,0.0,8,1,0.125,0.0,10,0,1
O31,0.9900277853012084,0.0,6,1,0.16666666666666666,0.0,10,0,1
O31,1.0960044860839844,0.0,3,1,0.3333333333333333,0.0,11,0,1
O31,1.1371614535649617,0.0,6,1,0.16666666666666666,0.0,11,0,1
O31,0.9599350293477376,0.0,3,1,0.3333333333333333,0.0,14,0,1
O31,1.0869746804237366,0.0,4,1,0.25,0.0,14,0,1
O31,1.323428710301717,0.0,3,1,0.3333333333333333,0.0,15,0,1
O32,0.8289038693463361,0.1791063679589165,27,9,0.3333333333333333,0.21607616345205105,4,0,1
O32,0.5644088089466095,0.0,8,1,0.125,0.0,4,0,1
O32,1.183720350265503,0.1899519496493869,20,18,0.9,0.1604702914896931,6,0,1
O32,1.7749391198158264,1.3957456747690835,8,6,0.75,0.7863625626291401,6,0,1
O32,1.379454480277167,0.3878755752856915,18,13,0.7222222222222222,0.28118040923522,10,0,1
O32,0.9513086213005914,0.181588590145111,9,4,0.4444444444444444,0.1908829438514394,10,0,1
O32,0.8041211423419771,0.0,21,1,0.047619047619047616,0.0,13,0,1
O32,0.901926612854004,0.0,5,1,0.2,0.0,13,0,1
O33,1.268998838606335,0.0,21,1,0.047619047619047616,0.0,1,0,1
O33,1.3585087537765503,0.0,10,1,0.1,0.0,1,0,1
O33,0.7400276752618643,0.0,52,1,0.019230769230769232,0.0,3,0,1
O33,1.5795966784159343,0.0,3,1,0.3333333333333333,0.0,3,0,1
O33,0.8951740071580216,0.0,37,1,0.02702702702702703,0.0,4,0,1
O33,0.3194460528237479,0.0,7,1,0.14285714285714285,0.0,4,0,1
O33,1.0277297401428225,0.0,25,1,0.04,0.0,5,0,1
O33,2.7120415369669595,0.0,12,1,0.08333333333333333,0.0,5,0,1
O33,0.3883095460060315,0.0,39,1,0.02564102564102564,0.0,7,0,1
O33,0.4139024955885751,0.0,28,1,0.03571428571428571,0.0,7,0,1
O33,0.8335826150302229,0.0,29,1,0.034482758620689655,0.0,8,0,1
O33,0.3520820140838623,0.0,6,1,0.16666666666666666,0.0,8,0,1
O33,0.5192678327913638,0.1396526098251342,27,2,0.07407407407407407,0.2689413843996863,15,0,1
O33,0.425001859664917,0.0,5,1,0.2,0.0,15,0,1
O34,4.8264161348342896,0.3632603372846331,2,7,3.5,0.07526502629204088,2,0,1
O34,1.7196446259816487,0.2334170341491699,3,5,1.6666666666666667,0.13573562271095704,2,0,1
O34,1.452674286706107,0.3328384594483809,7,22,3.142857142857143,0.22912118875806742,5,0,1
O34,2.2889254093170166,0.3178874083927699,1,7,7.0,0.13888063241327864,5,0,1
O34,0.7207732017223651,0.4027502877371652,13,14,1.0769230769230769,0.5587753356738986,7,0,1
O34,0.8796563148498535,0.3382840633392334,4,5,1.25,0.384563900273909,7,0,1
O34,2.099351501464844,0.43379807472229,5,12,2.4,0.20663432227504683,8,0,1
O34,4.379193544387817,0.6614859785352435,2,7,3.5,0.15105200805362323,8,0,1
O34,2.513355255126953,0.0,3,1,0.3333333333333333,0.0,10,0,1
O34,1.035900592803955,0.0,2,1,0.5,0.0,10,0,1
O34,0.8843606313069662,0.0,6,1,0.16666666666666666,0.0,14,0,1
O34,0.9693196614583334,0.0,3,1,0.3333333333333333,0.0,14,0,1
O34,1.28936448097229,0.0,5,1,0.2,0.0,15,0,1
O34,1.3462251822153728,0.4228739738464355,3,1,0.3333333333333333,0.3141183060849793,15,0,1
OX20,1.2755852460861206,0.0,10,1,0.1,0.0,14,1,1
OX20,2.299904465675354,0.0628931522369384,8,2,0.25,0.027345984659615057,14,1,1
OX20,2.6430727541446686,0.1659718950589498,8,12,1.5,0.06279505352196042,15,1,1
OX20,1.3623298236301966,0.2322397665543989,7,22,3.142857142857143,0.17047249684041285,15,1,1
OX21,1.2863487932417128,0.0,9,1,0.1111111111111111,0.0,7,1,1
OX22,11.15515148639679,0.0817472457885742,2,5,2.5,0.007328205796959488,2,1,1
OX22,2.6112838685512543,0.0,8,1,0.125,0.0,2,1,1
OX22,1.6998445254105787,0.0,13,1,0.07692307692307693,0.0,5,1,1
OX22,2.1192859411239624,0.0,12,1,0.08333333333333333,0.0,5,1,1
OX22,1.318701520562172,0.0,16,1,0.0625,0.0,15,1,1
OX22,1.2311206459999084,0.0,4,1,0.25,0.0,15,1,1
OX23,0.4148670434951782,0.0,6,1,0.16666666666666666,0.0,2,1,1
OX23,0.370881187915802,0.0,20,1,0.05,0.0,2,1,1
OX23,0.7170833349227905,0.0,20,1,0.05,0.0,6,1,1
OX23,0.2272729078928629,0.0,3,1,0.3333333333333333,0.0,6,1,1
OX23,0.4986150741577148,0.0,5,1,0.2,0.0,7,1,1
OX24,0.6070155638914841,0.0781593322753906,26,3,0.11538461538461539,0.1287600136219293,6,1,1
OX24,0.7933898483003888,0.240368298121861,14,7,0.5,0.30296366740358655,6,1,1
OX24,0.5462628364562988,0.0,5,1,0.2,0.0,7,1,1
OX24,1.2931584630693709,0.1556018193562825,14,3,0.21428571428571427,0.12032695435248861,7,1,1
OX24,1.3053848603192495,0.5090592503547668,17,4,0.23529411764705882,0.3899687102470834,8,1,1
OX24,1.0142205102103097,0.0,14,1,0.07142857142857142,0.0,8,1,1
OX24,0.8879337826290646,0.0,37,1,0.02702702702702703,0.0,11,1,1
OX24,0.8833966595785958,0.0,14,1,0.07142857142857142,0.0,11,1,1
OX25,1.2482634151683134,0.0,17,1,0.058823529411764705,0.0,2,1,1
OX25,2.7964961926142373,0.0,12,1,0.08333333333333333,0.0,2,1,1
OX25,0.8936561254354624,0.0,26,1,0.038461538461538464,0.0,3,1,1
OX25,0.9255943114940935,0.0,13,1,0.07692307692307693,0.0,3,1,1
OX25,1.2709778986479108,0.0,19,1,0.05263157894736842,0.0,6,1,1
OX25,1.2069796085357667,0.0,20,1,0.05,0.0,6,1,1
OX25,1.2638871236280962,0.0,22,1,0.045454545454545456,0.0,11,1,1
OX25,0.6775170022791083,0.0,22,1,0.045454545454545456,0.0,11,1,1
OX27,1.1776663696064669,0.5144712924957275,17,13,0.7647058823529411,0.43685657141389295,7,1,1
OX27,1.3867834508419037,0.0,8,1,0.125,0.0,7,1,1
OX27,1.3632474399748302,0.9067686887887808,21,13,0.6190476190476191,0.6651534139726847,11,1,1
OX27,2.2668142318725586,1.044402281443278,2,3,1.5,0.46073571744806074,11,1,1
OX28,1.7485429048538208,0.0666582584381103,18,1,0.05555555555555555,0.038122174899496084,3,1,1
OX28,1.5047509216126942,0.3877513806025187,21,12,0.5714285714285714,0.25768476033691473,3,1,1
OX28,0.5926286893732408,0.778648296991984,17,3,0.17647058823529413,1.3138889678383205,7,1,1
OX28,0.9590608697188528,0.0874321460723877,38,1,0.02631578947368421,0.0911643346454311,7,1,1
OX29,1.9411978381020685,0.2501695036888122,14,20,1.4285714285714286,0.12887378029093924,2,1,1
OX29,2.470321382795061,0.2712088871002197,7,25,3.5714285714285716,0.10978688400185348,2,1,1
OX31,0.7365778128306071,0.1493966579437255,15,11,0.7333333333333333,0.20282535713315422,2,1,1
OX31,2.416609627859933,0.2049360860068843,7,53,7.571428571428571,0.08480314058351604,2,1,1
OX31,1.487004280090332,0.0866010785102844,1,4,4.0,0.05823862087674932,5,1,1
OX31,1.024532353878021,0.0,20,1,0.05,0.0,5,1,1
OX32,0.5927566906501507,0.2688069939613342,29,8,0.27586206896551724,0.45348622495766316,4,1,1
OX32,0.7912988742192586,0.3989301409040178,30,14,0.4666666666666667,0.5041459730340517,4,1,1
OX33,1.7027776479721068,0.0,10,1,0.1,0.0,1,1,1
OX33,3.001605987548828,0.0,6,1,0.16666666666666666,0.0,1,1,1
OX33,0.9826428413391112,0.0,10,1,0.1,0.0,7,1,1
OX33,0.9901347923278808,0.0,25,1,0.04,0.0,7,1,1
OX33,2.383551299571991,0.4694883823394775,4,2,0.5,0.1969701186728318,11,1,1
OX33,1.794823169708252,0.1669764799230239,5,17,3.4,0.09303227345241251,11,1,1
OX34,1.0391216529043097,0.0,19,1,0.05263157894736842,0.0,2,1,1
OX34,0.9290372133255004,0.0,18,1,0.05555555555555555,0.0,2,1,1
OX34,0.7669834173642672,0.0,13,1,0.07692307692307693,0.0,3,1,1
OX34,1.1202912880824163,0.0,13,1,0.07692307692307693,0.0,3,1,1
OX34,2.234921415646871,0.0,6,1,0.16666666666666666,0.0,7,1,1
OX34,1.342085525393486,0.0,16,1,0.0625,0.0,7,1,1
OX34,0.610291063785553,0.3948926925659179,16,1,0.0625,0.6470563244305954,13,1,1
OX34,0.9894732306985294,0.3647856031145368,17,14,0.8235294117647058,0.36866646999334424,13,1,1
