ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,matching_decision
O28,0.786508321762085,0.0,7,1,0.14285714285714285,0.0,8,0,1
O28,2.0188499689102173,0.0,2,1,0.5,0.0,8,0,1
O28,0.8456110954284668,0.0,4,1,0.25,0.0,9,0,1
O28,2.0162251790364585,0.0,3,1,0.3333333333333333,0.0,9,0,1
O28,1.0376737117767334,0.0,6,1,0.16666666666666666,0.0,12,0,1
O28,0.5509465824473988,0.0,11,1,0.09090909090909091,0.0,12,0,1
O28,1.3072968482971192,0.0,5,1,0.2,0.0,14,0,1
O28,0.9591801166534424,0.0,3,1,0.3333333333333333,0.0,14,0,1
O29,0.716580605506897,0.6237548192342123,10,12,1.2,0.8704600912174824,3,0,1
O29,0.6316572825113932,1.67807936668396,6,3,0.5,2.656629493785172,3,0,1
O29,0.8098336458206177,0.0939308802286783,8,3,0.375,0.1159878707354726,5,0,1
O29,0.7800366878509521,0.0,1,1,1.0,0.0,5,0,1
O29,1.6820271015167236,0.3124762376149495,1,3,3.0,0.18577360455915504,14,0,1
O29,0.7542155683040619,0.396937506539481,8,7,0.875,0.5262918497320858,14,0,1
O29,0.98908531665802,0.2878652215003967,2,4,2.0,0.291041851144907,15,0,1
O29,1.0556398034095764,0.429643452167511,4,4,1.0,0.40699815484393415,15,0,1
O30,1.667520489011492,0.0,14,1,0.07142857142857142,0.0,1,0,1
O30,1.777316331863403,0.0,20,1,0.05,0.0,3,0,1
O30,0.7545999050140381,0.0,10,1,0.1,0.0,3,0,1
O30,1.2190672215961276,0.0,21,1,0.047619047619047616,0.0,4,0,1
O30,0.5971429347991943,0.0,6,1,0.16666666666666666,0.0,4,0,1
O30,2.046536350250244,0.0,20,1,0.05,0.0,6,0,1
O30,0.3455685973167419,0.0,4,1,0.25,0.0,6,0,1
O30,1.3281572461128237,0.0,16,1,0.0625,0.0,8,0,1
O30,1.0283236106236775,0.0,6,1,0.16666666666666666,0.0,8,0,1
O30,1.7162994316646032,0.0,7,1,0.14285714285714285,0.0,9,0,1
O30,0.2257331609725952,0.0,2,1,0.5,0.0,9,0,1
O30,1.3797615071137743,0.0,24,1,0.041666666666666664,0.0,11,0,1
O30,0.7142574191093445,0.0,4,1,0.25,0.0,11,0,1
O30,0.3860388994216919,0.0,4,1,0.25,0.0,13,0,1
O30,0.8476406335830688,0.0,4,1,0.25,0.0,13,0,1
O30,1.6595368044716972,0.0,7,1,0.14285714285714285,0.0,14,0,1
O30,0.4942198395729065,0.0,4,1,0.25,0.0,14,0,1
O30,1.247922122478485,0.0,8,1,0.125,0.0,15,0,1
O30,0.501126229763031,0.0,4,1,0.25,0.0,15,0,1
O31,0.6611380577087402,0.0,7,1,0.14285714285714285,0.0,3,0,1
O31,2.030351241429647,0.0,3,1,0.3333333333333333,0.0,4,0,1
O31,0.2028145790100097,0.0,2,1,0.5,0.0,5,0,1
O31,1.6312965869903564,0.0,5,1,0.2,0.0,6,0,1
O31,0.4821861982345581,0.0,4,1,0.25,0.0,6,0,1
O31,1.4777321020762126,0.0,3,1,0.3333333333333333,0.0,8,0,1
O31,1.5348528623580933,0.0,2,1,0.5,0.0,8,0,1
O31,0.9971752961476644,0.0,3,1,0.3333333333333333,0.0,12,0,1
O31,1.311152696609497,0.0,1,1,1.0,0.0,12,0,1
O31,0.9472007751464844,0.0,1,1,1.0,0.0,13,0,1
O31,0.406406044960022,0.0,2,1,0.5,0.0,13,0,1
O32,1.395426938931147,0.932191530863444,24,3,0.125,0.6680332053625633,1,0,1
O32,1.0398804744084675,0.1566680669784546,6,2,0.3333333333333333,0.15065968717950462,1,0,1
O32,0.9714424786744296,0.3190063780004328,27,11,0.4074074074074074,0.3283842172886337,2,0,1
O32,0.4876953125,0.0,10,1,0.1,0.0,2,0,1
O32,1.991622120141983,0.19049072265625,16,1,0.0625,0.09564601674672597,3,0,1
O32,0.3061387538909912,0.9162420034408568,10,2,0.2,2.992897801390767,3,0,1
O32,2.252163004875184,0.1153582731882731,10,3,0.3,0.05122110297458967,5,0,1
O32,0.1456432342529297,0.4820596694946289,1,5,5.0,3.3098665514215746,5,0,1
O32,1.5923162301381428,0.6482266729528253,24,33,1.375,0.40709669391273356,7,0,1
O32,3.74152398109436,1.818064451217652,1,1,1.0,0.48591548802151086,7,0,1
O32,2.650276947021484,0.3419378598531087,10,6,0.6,0.12901967103377474,8,0,1
O32,1.218239466349284,0.0639358758926391,3,2,0.6666666666666666,0.05248219061908795,8,0,1
O32,1.0023795068264008,0.3387356281280517,24,5,0.20833333333333334,0.3379315177746509,9,0,1
O32,1.2659438451131184,0.5216057300567627,3,1,0.3333333333333333,0.4120291212523369,9,0,1
O32,0.5397920807202657,0.6251240491867065,24,10,0.4166666666666667,1.1580830314379176,11,0,1
O32,0.4929158687591553,0.5383487542470297,4,3,0.75,1.0921716835821194,11,0,1
