id,fixation_durations,fixation_counts,fixation_durations_elmo,fixations_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixations_counts_elmo,game_percentage,task
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,76.59877354358301,9
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,77.63907139728428,9
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,77.87450722733246,9
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,80.42597459483136,10
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,81.60862899693386,10
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,81.83858957512045,10
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,84.49956197985107,11
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,85.19491896627245,11
O20,0.0,0,0.0,0,363.3500883579254,297,16.515218257904053,33,85.43035479632063,11
O20,0.0,0,4.27867317199707,6,363.3500883579254,297,20.793891429901123,39,88.33223828296101,12
O20,0.0,0,1.4552092552185059,1,363.3500883579254,297,22.24910068511963,40,88.7976346911958,12
O20,0.0,0,0.0,0,363.3500883579254,297,22.24910068511963,40,89.03307052124397,12
O20,0.0,0,0.0,0,363.3500883579254,297,22.24910068511963,40,91.60096364432763,13
O20,0.0,0,0.0,0,363.3500883579254,297,22.24910068511963,40,92.06636005256242,13
O20,0.0,0,0.0,0,363.3500883579254,297,22.24910068511963,40,92.29632063074902,13
O20,0.0,0,0.0,0,363.3500883579254,297,22.24910068511963,40,94.04292597459482,14
O20,0.0,0,0.0,0,363.3500883579254,297,22.24910068511963,40,94.6233026719229,14
O20,0.0,0,0.0,0,363.3500883579254,297,22.24910068511963,40,94.8532632501095,14
O20,0.9175558090209961,3,0.0,0,364.2676441669464,300,22.24910068511963,40,98.59833552343407,15
O20,2.18251895904541,3,0.0,0,366.4501631259918,303,22.24910068511963,40,99.18418747262375,15
O20,0.0,0,0.0,0,366.4501631259918,303,22.24910068511963,40,99.41414805081034,15
O21,23.858154773712158,43,11.723322629928589,28,23.858154773712158,43,11.723322629928589,28,8.11788242536165,-1
