ID,task,human_decision_time,human_ai_decision_time,XAI_value,subtracted_human_ai_decision_time
OX20,5,38.0,27.0,1,9.0
OX20,6,35.0,18.0,1,2.0
OX20,7,24.0,35.0,1,19.0
OX20,8,21.0,15.0,1,1.0
OX20,9,19.0,22.0,1,1.0
OX20,10,24.0,34.0,1,16.0
OX20,11,20.0,20.0,1,5.0
OX20,12,25.0,22.0,1,2.0
OX20,13,35.0,25.0,1,10.0
OX20,14,22.0,20.0,1,4.0
OX20,15,25.0,15.0,1,4.0
OX21,1,14.0,8.0,1,-8.0
OX21,2,15.0,6.0,1,-13.0
OX21,3,8.0,5.0,1,-8.0
OX21,4,7.0,4.0,1,-10.0
OX21,5,7.0,35.0,1,17.0
OX21,6,14.0,9.0,1,-7.0
OX21,7,7.0,14.0,1,-2.0
OX21,8,9.0,14.0,1,0.0
OX21,9,9.0,4.0,1,-17.0
OX21,10,7.0,3.0,1,-15.0
OX21,11,23.0,6.0,1,-9.0
OX21,12,10.0,6.0,1,-14.0
OX21,13,10.0,12.0,1,-3.0
OX21,14,13.0,5.0,1,-11.0
OX21,15,7.0,3.0,1,-8.0
OX22,1,18.0,18.0,1,2.0
OX22,2,28.0,24.0,1,5.0
OX22,3,23.0,19.0,1,6.0
OX22,4,38.0,17.0,1,3.0
OX22,5,36.0,26.0,1,8.0
OX22,6,19.0,19.0,1,3.0
OX22,7,26.0,22.0,1,6.0
OX22,8,28.0,20.0,1,6.0
OX22,9,12.0,23.0,1,2.0
OX22,10,26.0,22.0,1,4.0
OX22,11,30.0,17.0,1,2.0
OX22,12,28.0,22.0,1,2.0
OX22,13,23.0,18.0,1,3.0
OX22,14,31.0,20.0,1,4.0
OX22,15,26.0,17.0,1,6.0
OX23,1,12.0,7.0,1,-9.0
OX23,2,12.0,19.0,1,0.0
OX23,3,11.0,4.0,1,-9.0
OX23,4,10.0,15.0,1,1.0
OX23,5,26.0,6.0,1,-12.0
OX23,6,20.0,3.0,1,-13.0
OX23,7,5.0,5.0,1,-11.0
OX23,8,12.0,10.0,1,-4.0
OX23,9,15.0,4.0,1,-17.0
OX23,10,11.0,3.0,1,-15.0
