ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,matching_decision
O32,0.606407880783081,0.5216057300567627,2,1,0.5,0.8601565820404418,9,0,1
O32,1.2561230659484863,0.1261755228042602,1,2,2.0,0.10044837661585833,12,0,1
O32,0.295495867729187,0.2051060199737548,4,3,0.75,0.6941079127432274,15,0,1
O33,0.1224232912063598,0.0,2,1,0.5,0.0,6,0,1
O33,0.7299140691757202,0.0,4,1,0.25,0.0,9,0,1
O33,0.8796541690826416,0.0,1,1,1.0,0.0,10,0,1
O34,0.4953832626342773,0.2497119903564453,1,1,1.0,0.5040783756571894,1,0,1
O34,0.3283979892730713,0.3421695232391357,1,3,3.0,1.0419355002646287,3,0,1
O34,0.7215404510498047,0.5093566576639811,2,3,1.5,0.7059294554073761,4,0,1
O34,0.8381444215774536,0.0,2,1,0.5,0.0,6,0,1
O34,1.104987382888794,0.0,1,1,1.0,0.0,9,0,1
OX20,1.0395420789718628,0.4293600916862488,2,4,2.0,0.4130281018647156,2,1,1
OX20,0.7898621559143066,0.1812743544578552,1,4,4.0,0.22950125297245147,3,1,1
OX20,1.411797046661377,0.1766128063201904,2,5,2.5,0.12509787206160053,4,1,1
OX20,0.0927085876464843,0.0634007453918457,1,2,2.0,0.6838713327572733,5,1,1
OX20,2.530448865890503,0.4288980620247977,5,21,4.2,0.16949485437393416,10,1,1
OX20,2.378968834877014,0.6271317005157471,2,6,3.0,0.2636149290069065,11,1,1
OX20,1.731377363204956,0.2051907062530517,1,5,5.0,0.1185129889149196,12,1,1
OX20,1.614248514175415,0.3693424224853515,2,10,5.0,0.22880146349338146,13,1,1
OX21,1.508972942829132,0.0,8,1,0.125,0.0,5,1,1
OX21,0.2082035541534423,0.0,2,1,0.5,0.0,8,1,1
OX22,1.0209230581919353,0.1586606502532959,3,1,0.3333333333333333,0.1554090183194466,1,1,1
OX22,5.80523419380188,0.0,1,1,1.0,0.0,8,1,1
OX22,4.336487054824829,0.0,1,1,1.0,0.0,10,1,1
OX22,0.4351441860198974,0.0,1,1,1.0,0.0,11,1,1
OX22,1.2573261260986328,0.0,2,1,0.5,0.0,14,1,1
OX23,0.0910093784332275,0.0,1,1,1.0,0.0,4,1,1
OX24,0.7857017517089844,0.0,2,1,0.5,0.0,5,1,1
OX24,0.6720762252807617,0.1049266656239827,1,3,3.0,0.1561231623394345,15,1,1
