ID,fixation_durations,fixation_counts,fixation_durations_elmo,fixation_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixation_counts_elmo,game_percentage,task
O24,1.1785938739776611,5,0.0,0,363.5440182685852,242,1.1166131496429443,4,87.03576812388653,11
O24,0.0,0,0.0,0,368.4517703056336,245,1.1166131496429443,4,90.00959298341785,12
O24,0.7534921169281006,2,0.0,0,381.3714456558228,254,2.948294162750244,6,93.64807455118542,13
O24,0.7224498987197876,2,0.0,0,389.55084109306335,265,8.086379051208496,17,96.38207482527066,14
O24,0.0,0,0.0,0,401.2969651222229,269,8.086379051208496,17,99.328491160751,15
O25,0.0,0,1.0004494190216064,1,130.77313256263733,112,9.48855447769165,19,32.384368798656695,1
O25,2.0520594716072083,4,0.0,0,151.76763010025024,129,9.48855447769165,19,40.29919096321172,2
O25,0.9253514607747396,12,0.2667745351791382,2,165.41279888153076,144,10.222343683242798,22,45.33658983361319,3
O25,0.2176766991615295,4,0.2325620651245117,1,171.70996642112732,156,11.205617666244509,25,50.49610746450923,4
O25,1.1175517241160076,3,0.1331479549407959,1,212.27278232574463,210,13.426681756973268,33,65.22668294916807,5
O25,0.9905707836151124,1,0.0,0,223.8821611404419,227,14.759589195251465,36,69.82903373530759,6
O25,0.5212883949279785,2,0.0,0,232.5655629634857,237,14.759589195251465,36,72.10349564951916,7
O25,0.9918382167816162,1,0.0,0,249.6019308567047,252,14.759589195251465,36,76.57609525263318,8
O25,0.0,0,0.0,0,258.2795071601868,256,14.759589195251465,36,80.08700961685238,9
O25,0.0,0,0.0,0,269.387836933136,260,14.759589195251465,36,83.63608609372615,10
O25,0.9746254086494446,4,0.0,0,282.1798994541168,268,14.759589195251465,36,88.91009006258587,11
O25,0.0,0,0.0,0,288.0670328140259,272,14.759589195251465,36,91.0166386811174,12
O25,1.165859580039978,2,0.0,0,294.0996425151825,277,14.759589195251465,36,93.9245916653946,13
