ID,fixation_durations,fixation_counts,fixation_durations_elmo,fixation_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixation_counts_elmo,game_percentage,task
O21,0.524164004759355,11,0.0,0,191.0854082107544,255,27.61694288253784,71,70.71406586642044,10
O21,1.3097896575927734,2,0.0,0,193.70498752593997,257,27.61694288253784,71,71.97599261311173,10
O21,2.017506380875905,12,0.0,0,217.9150640964508,269,27.61694288253784,71,77.16220375500154,11
O21,1.67258620262146,1,0.0,0,219.5876502990723,270,27.61694288253784,71,78.41643582640813,11
O21,1.6658290386199952,10,0.0,0,236.24594068527225,280,27.61694288253784,71,83.03324099722992,12
O21,0.0,0,0.0,0,236.24594068527225,280,27.61694288253784,71,84.05663281009541,12
O21,1.490606129169464,12,0.2368113994598388,1,254.1332142353058,292,27.85375428199768,72,88.11172668513389,13
O21,0.5288991928100586,1,0.1102247238159179,2,254.66211342811584,293,28.07420372962952,74,88.96583564173592,13
O21,1.2288453380266826,12,0.2017405209717927,27,269.40825748443604,305,33.52119779586792,101,92.7362265312404,14
O21,0.4666793346405029,12,0.1580218076705932,4,275.00840950012207,317,34.15328502655029,105,94.79070483225608,14
O21,0.9232855002085368,15,0.3385062085257636,18,288.8576920032501,332,40.24639678001404,123,98.19944598337948,15
O21,0.3562121391296386,1,0.1736558675765991,2,289.21390414237976,333,40.59370851516724,125,99.09972299168976,15
O22,2.630234400431315,6,0.0,0,223.1042218208313,80,18.10828709602356,44,34.913017396520694,1
O22,1.9442025820414224,3,0.0,0,228.9368295669556,83,18.10828709602356,44,36.95860827834433,1
O22,1.2985089719295502,8,0.0,0,239.324901342392,91,18.10828709602356,44,39.868026394721056,2
O22,1.363114356994629,5,0.0,0,246.1404731273651,96,18.10828709602356,44,41.571685662867424,2
O22,1.6481212576230366,12,0.0,0,265.91792821884155,108,18.10828709602356,44,44.99100179964008,3
O22,0.0,0,0.0,0,265.91792821884155,108,18.10828709602356,44,45.89082183563287,3
O22,1.8050683869255917,9,0.0,0,282.1635437011719,117,18.10828709602356,44,49.61607678464307,4
O22,0.0,0,0.0,0,282.1635437011719,117,18.10828709602356,44,50.37792441511698,4
O22,1.674996596116286,13,0.0,0,303.9384994506836,130,18.10828709602356,44,53.92921415716857,5
O22,0.0,0,0.0,0,303.9384994506836,130,18.10828709602356,44,54.69106178764247,5
O22,3.727921152114868,10,0.0,0,341.2177109718323,140,18.10828709602356,44,59.88602279544091,6
O22,0.6022241115570068,3,0.0,0,343.0243833065033,143,18.10828709602356,44,61.15776844631073,6
O22,2.1537741747769443,11,0.0,0,366.7158992290497,154,18.10828709602356,44,64.58308338332334,7
O22,1.2445080280303955,3,0.0,0,370.44942331314087,157,18.10828709602356,44,65.36292741451709,7
O22,1.5947543462117513,15,0.0,0,394.37073850631714,172,18.10828709602356,44,69.20815836832634,8
O22,0.0,0,0.0,0,394.37073850631714,172,18.10828709602356,44,70.10197960407918,8
O22,1.8195998668670652,10,0.0,0,412.5667371749878,182,18.10828709602356,44,72.75944811037792,9
O22,0.0,0,0.0,0,412.5667371749878,182,18.10828709602356,44,73.43131373725255,9
O22,1.8627925713857012,12,0.0,0,434.9202480316162,194,18.10828709602356,44,77.25854829034193,10
O22,0.7469482421875,1,0.0,0,435.6671962738037,195,18.10828709602356,44,78.03239352129575,10
O22,1.829989300833808,9,0.0,0,452.137099981308,204,18.10828709602356,44,81.34373125374925,11
O22,1.414919137954712,1,0.0,0,453.5520191192627,205,18.10828709602356,44,82.11157768446311,11
O22,2.318845796585083,5,0.0,0,465.1462481021881,210,18.10828709602356,44,84.67906418716257,12
O22,0.9304111003875732,1,0.0,0,466.0766592025757,211,18.10828709602356,44,85.59688062387522,12
O22,2.6330100536346435,5,0.0,0,479.2417094707489,216,18.10828709602356,44,88.04439112177565,13
O22,0.0,0,0.0,0,479.2417094707489,216,18.10828709602356,44,88.81823635272946,13
O22,1.2337526082992554,14,0.0,0,496.5142459869385,230,18.10828709602356,44,91.6736652669466,14
O22,0.0,0,0.0,0,496.5142459869385,230,18.10828709602356,44,92.9634073185363,14
O22,1.4816138744354248,8,0.0,0,508.3671569824219,238,18.10828709602356,44,95.6628674265147,15
O22,0.1193868319193522,3,0.0,0,508.72531747817993,241,18.10828709602356,44,96.4247150569886,15
O24,1.513405481974284,12,0.0,0,213.2532799243927,150,1.1166131496429443,4,43.84678635055502,1
O24,0.0,0,0.0,0,213.2532799243927,150,1.1166131496429443,4,45.08702206386186,1
O24,0.8249390125274658,4,0.0,0,216.55303597450256,154,1.1166131496429443,4,46.56023023160203,2
O24,0.0,0,0.0,0,216.55303597450256,154,1.1166131496429443,4,47.26599972591476,2
O24,1.2608372502856784,18,0.0,0,239.2481064796448,172,1.1166131496429443,4,51.9048924215431,3
O24,0.7524734735488892,2,0.0,0,240.75305342674253,174,1.1166131496429443,4,53.22050157599013,3
O24,1.9740787943204243,12,0.0,0,264.44199895858765,186,1.1166131496429443,4,58.112923119090034,4
O24,0.0,0,0.0,0,264.44199895858765,186,1.1166131496429443,4,58.79128408935179,4
O24,2.223799735307693,8,0.0,0,282.2323968410492,194,1.1166131496429443,4,62.58736467041249,5
O24,0.0,0,0.0,0,282.2323968410492,194,1.1166131496429443,4,63.40962039194189,5
O24,5.208802580833435,2,0.0,0,292.65000200271606,196,1.1166131496429443,4,65.89009181855558,6
O24,0.9912896951039633,3,0.0,0,295.62387108802795,199,1.1166131496429443,4,67.93202686035357,6
O24,1.763035625219345,8,0.0,0,309.7281560897827,207,1.1166131496429443,4,71.52254351103193,7
O24,1.3343149026234944,3,0.0,0,313.7311007976532,210,1.1166131496429443,4,72.9203782376319,7
O24,1.3508512708875868,9,0.0,0,325.8887622356415,219,1.1166131496429443,4,75.44196245032205,8
O24,0.3257734775543213,1,0.0,0,326.2145357131958,220,1.1166131496429443,4,76.28477456488967,8
O24,1.269866704940796,2,0.0,0,328.7542691230774,222,1.1166131496429443,4,77.33315060983966,9
O24,1.694515585899353,2,0.0,0,332.1433002948761,224,1.1166131496429443,4,78.64190763327395,9
O24,4.14869236946106,4,0.0,0,348.73806977272034,228,1.1166131496429443,4,81.4992462655886,10
O24,1.6467783451080322,1,0.0,0,350.3848481178284,229,1.1166131496429443,4,82.68466493079347,10
O24,0.9082750976085664,8,0.0,0,357.6510488986969,237,1.1166131496429443,4,84.67863505550226,11
O24,1.1785938739776611,5,0.0,0,363.5440182685852,242,1.1166131496429443,4,87.03576812388653,11
O24,1.63591734568278,3,0.0,0,368.4517703056336,245,1.1166131496429443,4,88.86528710428944,12
O24,0.0,0,0.0,0,368.4517703056336,245,1.1166131496429443,4,90.00959298341785,12
O24,1.6303844451904297,7,0.91584050655365,2,379.86446142196655,252,2.948294162750244,6,92.5174729340825,13
